"Kod";"Nazwa";"Płeć";"Grupy osób";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"1998";160510;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"1999";203376;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2000";231653;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2001";267435;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2002";279309;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2003";278271;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2004";257129;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2005";233352;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2006";185417;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2007";127457;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2008";113890;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2009";146260;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2010";150282;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2011";143575;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2012";157369;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2013";153558;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2014";121562;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2015";99952;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2016";85984;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2017";68813;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2018";62842;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2019";56022;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2020";68822;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2021";58738;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2022";53952;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2023";52970;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2024";55474;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2025";63758;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"1998";128192;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"1999";156309;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2000";181230;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2001";205232;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2002";211593;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2003";212066;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2004";199566;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2005";188021;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2006";160061;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2007";123243;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2008";110256;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2009";134127;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2010";139401;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2011";139622;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2012";148839;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2013";150145;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2014";127111;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2015";107255;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2016";98522;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2017";81543;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2018";72655;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2019";64060;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2020";73482;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2021";61861;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2022";56484;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2023";54376;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2024";55333;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2025";59310;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"1998";117136;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"1999";148096;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2000";159717;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2001";178980;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2002";178879;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2003";174529;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2004";164752;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2005";156832;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2006";141763;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2007";118146;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2008";101561;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2009";117237;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2010";119709;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2011";122441;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2012";131125;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2013";134042;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2014";116869;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2015";107895;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2016";95596;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2017";81221;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2018";74449;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2019";69379;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2020";76505;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2021";66244;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2022";61254;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2023";57386;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2024";55774;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"ogółem";"2025";61462;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"1998";54227;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"1999";74740;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2000";89139;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2001";102187;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2002";109551;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2003";108026;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2004";99389;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2005";89151;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2006";72816;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2007";52293;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2008";46311;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2009";61062;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2010";59225;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2011";59134;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2012";60614;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2013";59805;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2014";47115;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2015";39348;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2016";32367;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2017";24605;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2018";22201;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2019";18498;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2020";23674;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2021";18158;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2022";15725;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2023";15379;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2024";15926;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"ogółem";"2025";20380;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"1998";144287;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"1999";182547;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2000";208064;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2001";230631;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2002";234888;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2003";233064;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2004";218281;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2005";198429;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2006";160698;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2007";123148;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"ogółem";"2008";99191;"osoba";"";
